Setnum,id,baseId,name,rarity,hp,attack,class,flavor,artKey,artType,Set
15,amazon-sqs-U,amazon-sqs,Amazon SQS,Uncommon,90,50,Product,"Managed message queue to decouple services. Buffers bursts, smooths processing, and prevents cascading failures.",amazon-sqs-U,favicon,base
16,amazon-sns-U,amazon-sns,Amazon SNS,Uncommon,100,10,Product,"Publish/subscribe messaging for fan-out notifications. Route events to many targets to build responsive, loosely coupled systems.",amazon-sns-U,favicon,base
17,aws-kms-U,aws-kms,AWS KMS,Uncommon,80,80,Product,Managed encryption keys and policies. Central control and audit trails help protect data and meet regulatory requirements.,aws-kms-U,favicon,base
18,aws-cloudtrail-U,aws-cloudtrail,AWS CloudTrail,Uncommon,90,50,Product,"Audit log of AWS actions. Shows who changed what and when for compliance, investigations, and governance.",aws-cloudtrail-U,favicon,base
19,amazon-aurora-U,amazon-aurora,Amazon Aurora,Uncommon,70,80,Product,Cloud-native relational database for MySQL/Postgres. High performance and availability with less admin work for critical apps at scale.,amazon-aurora-U,favicon,base
20,amazon-ebs-U,amazon-ebs,Amazon EBS,Uncommon,70,50,Product,Block storage for EC2. Provides predictable performance for databases and apps; easy to resize and snapshot for reliability.,amazon-ebs-U,favicon,base
21,amazon-eventbridge-R,amazon-eventbridge,Amazon EventBridge,Rare,100,60,Product,Event bus for routing events across AWS and SaaS. Simplifies event-driven architectures and reduces brittle point-to-point links.,amazon-eventbridge-R,favicon,base
22,aws-step-functions-R,aws-step-functions,AWS Step Functions,Rare,60,100,Product,Workflow orchestration with retries and state tracking. Reduce glue code and improve reliability for multi-step business processes.,aws-step-functions-R,favicon,base
23,aws-organizations-R,aws-organizations,AWS Organizations,Rare,90,90,Product,"Manage many AWS accounts with centralized policies and consolidated billing. Core for governance, cost allocation, and security at scale.",aws-organizations-R,favicon,base
24,aws-secrets-manager-R,aws-secrets-manager,AWS Secrets Manager,Rare,100,60,Product,"Store and rotate secrets (passwords/tokens). Reduces credential leaks and manual rotation work, strengthening security posture.",aws-secrets-manager-R,favicon,base
25,aws-waf-R,aws-waf,AWS WAF,Rare,120,40,Product,Web application firewall. Blocks common exploits and bots with managed rules to reduce fraud and downtime.,aws-waf-R,favicon,base
26,aws-systems-manager-R,aws-systems-manager,AWS Systems Manager,Rare,80,80,Product,"Operations automation for fleets: patching, run commands, inventory, and configuration. Standardize ops and reduce toil across environments.",aws-systems-manager-R,favicon,base
27,aws-inferentia-UR,aws-inferentia,AWS Inferentia,Ultra Rare,110,70,Product,AWS chips optimized for AI inference. Lower cost and latency for serving models in production at scale.,aws-inferentia-UR,favicon,base
28,aws-graviton-UR,aws-graviton,AWS Graviton,Ultra Rare,50,120,Product,AWS-designed CPUs with strong price-performance. Often lowers compute cost for common workloads at scale.,aws-graviton-UR,favicon,base
29,aws-control-tower-UR,aws-control-tower,AWS Control Tower,Ultra Rare,80,110,Product,Automates a governed multi-account landing zone. Sets guardrails and best practices so organizations can scale AWS safely.,aws-control-tower-UR,favicon,base
30,amazon-guardduty-UR,amazon-guardduty,Amazon GuardDuty,Ultra Rare,150,10,Product,Threat detection that analyzes AWS signals and logs. Flags suspicious behavior quickly to reduce impact of compromises.,amazon-guardduty-UR,favicon,base
31,aws-lake-formation-UR,aws-lake-formation,AWS Lake Formation,Ultra Rare,120,80,Product,Build and govern data lakes with centralized permissions and catalogs. Speeds analytics while reducing data access risk.,aws-lake-formation-UR,favicon,base
32,aws-security-hub-UR,aws-security-hub,AWS Security Hub,Ultra Rare,120,80,Product,Central view of security findings across AWS. Prioritize remediation and standardize controls at scale.,aws-security-hub-UR,favicon,base
33,aws-shield-UR,aws-shield,AWS Shield,Ultra Rare,120,80,Product,DDoS protection for internet-facing apps. Helps maintain availability during attacks and reduces response burden.,aws-shield-UR,favicon,base
34,aws-cloudformation-UR,aws-cloudformation,AWS CloudFormation,Ultra Rare,120,80,Product,"Infrastructure as code using templates. Create consistent environments, reduce misconfigurations, and enable repeatable deployments.",aws-cloudformation-UR,favicon,base
35,amazon-ec2-L,amazon-ec2,Amazon EC2,Legendary,80,40,Product,"Virtual machines on demand. Pay only for what you run, scale up/down quickly, and deploy globally. Entry point for AWS customer acquisition and long-term infrastructure spend.",amazon-ec2-L,image,base
36,amazon-s3-L,amazon-s3,Amazon S3,Legendary,50,60,Product,"Object storage for files and data at any scale. Used for backups, app assets, and data lakes because it's durable, low cost, and integrates across AWS.",amazon-s3-L,image,base
37,aws-lambda-L,aws-lambda,AWS Lambda,Legendary,70,70,Product,"Run code in response to events without managing servers. Auto-scales and charges per request/time, lowering ops work and cost for bursty workloads and integrations.",aws-lambda-L,image,base
38,amazon-bedrock-L,amazon-bedrock,Amazon Bedrock,Legendary,110,70,Product,Build generative AI apps with foundation models via API. Adds governance and security controls so businesses can ship AI features faster while managing risk.,amazon-bedrock-L,image,base
39,amazon-sagemaker-L,amazon-sagemaker,Amazon SageMaker,Legendary,150,40,Product,"End-to-end platform to build, train, and deploy ML models. MLOps tools reduce time from prototype to production and improve consistency and compliance.",amazon-sagemaker-L,image,base
40,amazon-q-developer-L,amazon-q-developer,Amazon Q Developer,Legendary,90,90,Product,"AI assistant for developers. Helps write code, explain errors, and generate docs to improve productivity and shorten cycle time.",amazon-q-developer-L,image,base
41,aws-trainium-L,aws-trainium,AWS Trainium,Legendary,150,60,Product,AWS chips optimized for training large AI models. Reduce training cost and increase throughput for large-scale experimentation.,aws-trainium-L,image,base
42,amazon-quick-suite-L,quick-suite,Amaozn Quick Suite,Legendary,112,46,Product,"An AI workspace for nontechnical teams that can draft docs and emails, summarize meetings, answer questions from your files, and automate simple requests—all from plain-language prompts.",amazon-quick-suite-L,image, base
43,amazon-connect-L,amazon-connect,Amazon Connect,Legendary,110,44,Product,"A cloud contact center for customer support. Teams can set up phone and chat help, route customers to the right agent, see customer details, and track service quality—all without running call-center hardware.",amazon-connect-L,image, base
44,customer-obsession-C,customer-obsession,Customer Obsession,Common,50,50,LP,Leaders start with the customer and work backwards. They earn and keep customer trust.,customer-obsession-C,image,base
45,ownership-C,ownership,Ownership,Common,50,50,LP,Leaders act on behalf of the entire company. They never say 'that's not my job.',ownership-C,image,base
46,invent-and-simplify-C,invent-and-simplify,Invent and Simplify,Common,50,50,LP,Leaders expect and require innovation and invention. They simplify to move faster.,invent-and-simplify-C,image,base
47,are-right-a-lot-C,are-right-a-lot,"Are Right, A Lot",Common,50,50,LP,Leaders have strong judgment and good instincts. They seek diverse perspectives and work to disconfirm beliefs.,are-right-a-lot-C,image,base
48,learn-and-be-curious-C,learn-and-be-curious,Learn and Be Curious,Common,50,50,LP,Leaders are never done learning. They improve themselves and explore new possibilities.,learn-and-be-curious-C,image,base
49,hire-and-develop-the-best-C,hire-and-develop-the-best,Hire and Develop the Best,Common,50,50,LP,Leaders raise the performance bar with every hire and develop others to be leaders.,hire-and-develop-the-best-C,image,base
50,think-big-C,think-big,Think Big,Common,50,50,LP,Leaders create and communicate a bold direction that inspires results. They think differently.,think-big-C,image,base
51,insist-on-the-highest-standards-U,insist-on-the-highest-standards,Insist on the Highest Standards,Uncommon,50,50,LP,Leaders have relentlessly high standards and drive quality that customers notice.,insist-on-the-highest-standards-U,image,base
52,earn-trust-U,earn-trust,Earn Trust,Uncommon,50,50,LP,"Leaders listen attentively, speak candidly, and treat others respectfully.",earn-trust-U,image,base
53,dive-deep-U,dive-deep,Dive Deep,Uncommon,50,50,LP,"Leaders operate at all levels, stay connected to details, and audit frequently.",dive-deep-U,image,base
54,have-backbone-disagree-and-commit-U,have-backbone-disagree-and-commit,Have Backbone; Disagree and Commit,Uncommon,50,50,LP,"Leaders challenge decisions when they disagree, then commit fully once a decision is made.",have-backbone-disagree-and-commit-U,image,base
55,deliver-results-U,deliver-results,Deliver Results,Uncommon,50,50,LP,Leaders focus on key inputs and deliver results with the right quality and in a timely fashion.,deliver-results-U,image,base
56,strive-to-be-earths-best-employer-U,strive-to-be-earths-best-employer,Strive to be Earth's Best Employer,Uncommon,50,50,LP,"Leaders work every day to create a safer, more productive, and more inclusive workplace.",strive-to-be-earths-best-employer-U,image,base
57,success-and-scale-bring-broad-responsibility-U,success-and-scale-bring-broad-responsibility,Success and Scale Bring Broad Responsibility,Uncommon,50,50,LP,Leaders consider the impact of their work and act responsibly as they grow.,success-and-scale-bring-broad-responsibility-U,image,base
58,bias-for-action-UR,bias-for-action,Bias for Action,Ultra Rare,50,50,LP,Speed matters. Many decisions are reversible and should be made quickly with reasonable judgment.,bias-for-action-UR,image,base
59,frugality-L,frugality,Frugality,Legendary,50,50,LP,Leaders accomplish more with less. Constraints drive resourcefulness and invention.,frugality-L,image,base
60,aws-re-inforce-C,aws-re-inforce,AWS re:Inforce,Uncommon,80,40,Event,"Security-focused AWS conference. Practical guidance on identity, governance, and incident readiness.",aws-re-inforce-C,image,base
61,aws-global-summits-U,aws-global-summits,AWS Global Summits,Uncommon,90,50,Event,Local events worldwide with keynotes and sessions. Meet the community and learn what's new.,aws-global-summits-U,image,base
62,aws-innovate-online-conference-U,aws-innovate-online-conference,AWS Innovate Online Conference,Uncommon,90,50,Event,Online event series with focused tracks. Efficient way for teams to skill up quickly.,aws-innovate-online-conference-U,image,base
63,awsome-day-R,awsome-day,AWSome Day,Rare,100,60,Event,Beginner-friendly AWS learning event. Great for onboarding teams into cloud fundamentals.,awsome-day-R,image,base
64,aws-re-invent-L,aws-re-invent,AWS re:Invent,Legendary,1130,1204,Event,"Flagship AWS conference. Big launches, deep sessions, and the fastest way to learn what's changing.",aws-re-invent-L,image,base
65,serverless-architecture-C,serverless-architecture,Serverless Architecture,Common,80,40,Concept,Design where the cloud handles scaling and infrastructure. Teams ship faster by focusing on code and events.,serverless-architecture-C,image,base
66,block-storage-C,block-storage,Block Storage,Common,70,50,Concept,Disk-like storage for servers and databases. Prioritizes low latency and predictable performance.,block-storage-C,image,base
67,data-lake-C,data-lake,Data Lake,Common,90,50,Concept,Central store for raw and curated data. Enables analytics and AI by making data reusable across teams.,data-lake-C,image,base
68,zero-trust-C,zero-trust,Zero Trust,Common,0,0,Concept,Security model that verifies every request. Reduces blast radius by assuming no network is automatically trusted.,zero-trust-C,image,base
69,regions-az-C,regions-az,Regions & Availability Zones,Common,90,60,Concept,AWS is split into Regions and independent Availability Zones. Choose Regions for latency/residency; design across AZs for high availability and fault isolation.,regions-az-C,image,base
70,shared-responsibility-C,shared-responsibility,Shared Responsibility Model,Common,100,40,Concept,"AWS secures the cloud infrastructure; you secure identities, data, and configuration. Clear ownership prevents security gaps and makes audits faster and cleaner.",shared-responsibility-C,image,base
71,multi-account-C,multi-account,Multi-Account Strategy,Common,80,120,Concept,"Use multiple AWS accounts to isolate workloads, separate billing, and apply guardrails. Limits blast radius and simplifies governance as organizations scale.",multi-account-C,image,base
72,infrastructure-as-code-C,infrastructure-as-code,Infrastructure as Code,Common,60,70,Concept,"Define infrastructure in code so environments are repeatable, reviewable, and automated. Reduces human error and enables safe, fast change management.",infrastructure-as-code-C,image,base
73,graphql-U,graphql,GraphQL,Uncommon,100,60,Concept,API approach where clients request exactly the fields they need. Can reduce payloads and speed product iteration.,graphql-U,image,base
74,olap-analytics-U,olap-analytics,OLAP Analytics,Uncommon,100,50,Concept,Analytics optimized for fast reporting across large datasets. Supports dashboards and business decision-making.,olap-analytics-U,image,base
75,defense-in-depth-R,defense-in-depth,Defense in Depth,Rare,110,70,Concept,"Layer security controls across identity, network, encryption, and monitoring. If one control fails, others still protect data and availability.",defense-in-depth-R,image,base
76,elasticity-R,elasticity,Elasticity,Rare,130,20,Concept,"Scale resources up and down with demand. Avoid overbuying, handle spikes, and align cost with usage - core to AWS's pay-for-what-you-use model.",elasticity-R,image,base
77,type1-type2-decisions-R,type1-type2-decisions,Type 1 / Type 2 Decisions,Rare,110,70,Concept,Type 1 decisions are hard to reverse - slow down. Type 2 are reversible - move fast and learn. Helps teams balance speed and risk.,type1-type2-decisions-R,image,base
78,retrieval-augmented-generation-rag-R,retrieval-augmented-generation-rag,Retrieval-Augmented Generation (RAG),Rare,150,40,Concept,Combine a model with your documents at query time. Improves accuracy by grounding answers in trusted data.,retrieval-augmented-generation-rag-R,image,base
79,vector-databases-R,vector-databases,Vector Databases,Rare,120,50,Concept,"Store embeddings to search by meaning. Useful for semantic search, recommendations, and RAG pipelines.",vector-databases-R,image,base
80,well-architected-review-L,well-architected-review,Well-Architected Review,Legendary,100,100,Concept,"Structured review to find risks and improve designs across reliability, security, cost, and operations.",well-architected-review-L,image,base
81,coffee-station-C,coffee-station,Coffee Station,Common,1,0,AWS Culture,"One free coffee per day - choose wisely. A tiny perk that still fuels big launches, long meetings, and 'quick' syncs.",coffee-station-C,image,base
82,yellow-badge-C,yellow-badge,Yellow Badge,Common,50,20,AWS Culture,"Contractor badge. Signals you're building with AWS teams, even if you're not on a blue badge yet - still expected to deliver and learn fast.",yellow-badge-C,image,base
83,blue-badge-U,blue-badge,Blue Badge,Uncommon,60,60,AWS Culture,"Employee badge and a symbol of belonging. Also a reminder: you now own the pager, the docs, and the follow-through.",blue-badge-U,image,base
84,day-1-U,day-1,Day 1,Uncommon,70,30,AWS Culture,"Mindset of acting like it's the beginning: move fast, stay curious, and avoid complacency.",day-1-U,image,base
85,six-pager-U,six-pager,Six-Pager,Uncommon,6,6,AWS Culture,"Narrative doc used for decisions. Forces clear thinking, tradeoffs, and alignment before teams build.",six-pager-U,image,base
86,doppler-building-R,doppler-building,Doppler Building,Rare,2021,7,AWS Culture,A well-known Seattle campus building. Office lore meets cloud scale - people still love a recognizable landmark.,doppler-building-R,image,base
87,prfaq-R,prfaq,PRFAQ,Rare,80,40,AWS Culture,Write the press release and FAQ first. Clarifies the customer value before building anything.,prfaq-R,image,base
88,working-backwards-R,working-backwards,Working Backwards,Rare,80,40,AWS Culture,"Start from the customer problem, then design the solution. Keeps teams aligned on real value, not features.",working-backwards-R,image,base
99,bar-raiser-R,bar-raiser,Bar Raiser,Rare,80,40,AWS Culture,Hiring role focused on keeping the talent bar high. Reinforces long-term quality over short-term speed.,bar-raiser-R,image,base
90,on-call-pager-UR,on-call-pager,On-Call Pager,Ultra Rare,90,50,AWS Culture,The moment you learn what 'ownership' feels like. Reliability work that keeps customers happy and teams honest.,on-call-pager-UR,image,base
91,chime-call-UR,chime-call,Chime Call,Ultra Rare,90,50,AWS Culture,"Meetings happen. A lot. The unofficial soundtrack of collaboration, reviews, and quick syncs.",chime-call-UR,image,base
92,banana-cart-L,banana-cart,Banana Cart,Legendary,120,80,AWS Culture,"A legendary perk... as long as you like bananas. A loving nod to frugality: keep costs tight, invest where customers feel it.",banana-cart-L,image,base
93,the-spheres-L,the-spheres,The Spheres,Legendary,2111,7,AWS Culture,Iconic Seattle workspace built around plants. A fun symbol that builder energy and environment matter - and a photo everyone recognizes.,the-spheres-L,image,base
94,hq2-helix-L,hq2-helix,HQ2 Helix,Legendary,550,550,AWS Culture,"A bold, iconic building concept. A playful symbol of scale, ambition, and the occasional obsession with big bets.",hq2-helix-L,image,base
